time,Building 1,Building 2,Building 3,Building 4,Building 5,Building 6,Building 7,Building 8,Building 9,Building 10,Building 11,Building 12,Building 13,Building 14,Building 15,Building 16,Building 17,Building 18,Building 19,Building 20,Building 21,Building 22,Building 23,Building 24,Building 25,Building 26,Building 27,Building 28,Total,costData,Emissions,,GHI,Solar_Power,,,,Solar_Power_2,,"Solar Power (kW, 22 Panel)",
15,1.983543742,2.275585558,2.044373735,2.536241144,1.924181724,2.151719927,1.907650804,2.934675105,1.919491547,1.880124939,0.998556487,2.08928514,6.385359523,1.459114707,1.560219333,2.208561658,4.521398691,2.327990015,1.898902471,1.308323288,1.509911981,1.721095274,2.69292684,3.243368074,1.498985871,1.54006967,1.635451497,2.262550084,62.41965883,0.1394,0.584378,0.317216627,288,1.8364032,0.147140542,0.147140542,0.020511392,0.483264,,2.1263616,
16,1.986683991,2.671842467,2.573805229,2.221870961,2.126778195,2.571788354,2.601970043,2.657747758,2.683997106,2.000460445,1.53679063,2.390510738,5.521119285,1.991173876,1.581444706,2.703798044,4.897584445,2.516852086,1.598513676,1.748296704,1.680337733,2.096055046,2.425994513,3.182491356,2.188811469,1.723122522,1.772532851,2.633320096,68.28569432,0.17493,0.565894,0.467385403,222,1.4155608,0.571123191,0.571123191,0.09990658,0.372516,,1.6390704,
17,2.4682219,2.783488327,2.333161381,2.43554209,2.264838146,2.561141937,2.84541133,2.561101352,2.487552849,2.241707034,2.855964768,2.410259361,3.10652146,2.270087539,1.79040288,2.953567901,2.498785795,2.542368374,2.623424809,2.282869417,3.013866621,2.600309185,2.141994792,2.56017389,2.603798003,1.885173273,1.553041597,2.924180546,69.59895656,0.17493,0.563853,0.486915613,45,0.286938,2.1812839,2.1812839,0.381571993,0.07551,,0.332244,
18,2.876246516,2.840119965,2.939007584,2.92450215,3.096345785,2.787020478,2.840075047,4.059562368,2.63318865,2.790879769,2.543959536,3.199460999,1.867349069,2.421180954,1.980241275,3.943711147,3.255152506,3.263612523,2.732109019,2.082451453,3.514344643,2.828590459,2.386826944,3.006242461,2.414800113,2.692704997,1.823601591,2.725684828,78.46897283,0.17493,0.565591,0.496822185,0,0,2.876246516,2.876246516,0.503141803,0,,0,
19,3.11496537,3.758226549,3.633139577,3.115566551,3.393037713,3.387472833,2.660157806,5.387697844,2.995603581,3.029709345,2.927999813,2.879472653,2.52631915,2.352948185,2.690247778,4.225500368,3.723787451,3.865035354,2.666539665,2.293783176,3.353857886,3.396068355,3.192228945,3.687574177,3.259247338,3.728602402,2.458135026,3.180824415,90.88374931,0.17493,0.569031,0.65742657,0,0,3.11496537,3.11496537,0.544900892,0,,0,
20,3.368685162,4.476488568,3.036272715,3.299864963,2.970125444,3.902954998,2.801004822,2.803048531,3.58023481,3.309993793,2.728761659,3.353059428,2.761859332,3.008819098,3.088004401,4.666036495,3.028327893,3.879518857,2.897024855,2.826803758,3.382262792,3.277082131,3.675279451,3.543069476,4.366555091,2.58011339,3.303582035,3.234866722,93.14970067,0.10388,0.570505,0.465017632,0,0,3.368685162,3.368685162,0.349939015,0,,0,
21,2.956345574,4.151206529,3.279324198,3.298666664,3.401585348,3.557573005,3.055730127,3.014821708,3.779450706,2.89378562,2.621905487,2.993838346,3.153672753,4.131421692,2.827370078,4.818422789,3.236389981,3.792455365,2.874463928,2.864194215,4.510142052,3.676459219,3.622630553,4.003503802,2.8338153,4.755689685,4.890332474,2.900194439,97.89539164,0.10388,0.59791,0.431227334,0,0,2.956345574,2.956345574,0.307105178,0,,0,
22,3.586676804,3.795902351,2.992726319,3.222308396,4.100267545,3.151859863,3.487695061,3.624867859,4.013604559,2.791787701,2.547284822,4.115247415,3.662980503,3.255135959,3.262679123,6.305631189,3.628867489,3.471470306,2.798315604,2.465757347,3.863438527,3.564718597,3.428641362,3.991797532,2.606692453,3.288575185,4.247983298,2.836042026,98.1089552,0.10388,0.606982,0.394318336,0,0,3.586676804,3.586676804,0.372583986,0,,0,
23,3.777250269,3.864884666,2.945661024,3.199585404,3.375994056,3.031358538,3.24323219,2.97186699,3.469162311,3.115890675,1.915538764,5.154871779,3.599541028,2.586162531,2.952754484,3.317307566,3.09365272,3.52067937,2.501157118,2.397665339,3.247831573,3.097730527,2.902422948,3.768245295,2.695827628,3.802531207,2.360263682,3.161232797,89.07030248,0.10388,0.563588,0.401484219,0,0,3.777250269,3.777250269,0.392380758,0,,0,
24,3.196062501,4.128794352,2.810485836,3.151044447,3.548311719,2.951738718,3.584585772,2.645190779,2.722332363,3.27066005,2.907843194,3.531357378,3.108725094,2.496363238,2.639801817,4.551819494,2.880247651,3.500190588,2.642200197,2.337920999,2.814806113,3.088718718,2.912471367,3.688914728,2.625332136,3.355363647,2.692201163,3.020546493,86.80403055,0.10388,0.563323,0.428899157,0,0,3.196062501,3.196062501,0.332006973,0,,0,
25,3.405776069,3.870795556,3.150098466,3.135221388,3.268394099,3.292490984,3.233205346,2.863771803,2.897807964,2.940215273,2.633438843,2.695428033,2.692357241,2.806573906,2.61311153,4.192747719,3.179911031,3.267054637,2.619501457,2.879818232,2.80302919,3.042293371,2.900451649,3.265138081,3.024293422,3.21043921,3.016153631,2.702071458,85.60158959,0.10388,0.564231,0.402098242,0,0,3.405776069,3.405776069,0.353792018,0,,0,
26,3.635495684,3.576256124,3.068623101,3.130415288,2.833119747,3.536393144,2.837919543,2.785201058,2.80041413,2.80618205,3.52245412,2.717169212,2.491010321,2.703165077,2.618832225,3.479831295,3.083044481,3.218752282,2.621022387,3.068973784,2.804420335,3.057130048,2.911738902,3.252090763,2.674426786,3.01013385,2.369419049,2.678850984,83.29248577,0.10388,0.566877,0.371501486,0,0,3.635495684,3.635495684,0.377655292,0,,0,
